id	same_as_id	duplicate_count	category	subject_policy	jp_prefix	jp_suffix	jp_with_b	zh_prefix	zh_suffix
2		1	B_NI	auto	に話題を振ったこと		{B}に話題を振ったこと	向{B}搭话的事情	
4		4	B_WO	auto	を無視したこと		{B}を無視したこと	无视{B}的事情	
5		2	B_NI	auto	に近づいたこと		{B}に近づいたこと	接近{B}的事情	
7		1	B_NI	auto	に、そっけない返事を	したこと	{B}に、そっけない返事を / したこと	对{B}做出冷淡回应	的事情
8		1	B_NO	auto	のふがいない態度を	叱ったこと	{B}のふがいない態度を / 叱ったこと	斥责{B}不争气的态度	的事情
9		2	B_TO_NO	auto	との会話を	切り上げたこと	{B}との会話を / 切り上げたこと	中断和{B}的对话	的事情
11	4	4	B_WO	auto	を無視したこと		{B}を無視したこと	无视{B}的事情	
14		1	B_NO	auto	のつれない態度を	嘆いたこと	{B}のつれない態度を / 嘆いたこと	感叹{B}冷淡态度	的事情
17		1	B_NO	auto	の態度にヘコんだこと		{B}の態度にヘコんだこと	因{B}的态度受打击的事情	
19		1	B_NO	auto	の態度に	動じなかったこと	{B}の態度に / 動じなかったこと	对{B}的态度不为所动	的事情
25		1	B_NI	auto	に照れたこと		{B}に照れたこと	对{B}害羞的事情	
31		1	B_HENO	auto	への視線を逸らしたこと		{B}への視線を逸らしたこと	移开看向{B}的视线的事情	
32		1	B_NI	auto	に笑いかけたこと		{B}に笑いかけたこと	对{B}微笑的事情	
33		1	B_NI	auto	に近寄ったこと		{B}に近寄ったこと	靠近{B}的事情	
35		1	NO_B	auto	一人で悩んだこと		一人で悩んだこと	独自烦恼的事情	
44		1	B_NI	auto	に機密情報を	聞き出したこと	{B}に機密情報を / 聞き出したこと	向{B}打探机密情报	的事情
48		1	B_KARA_NO	auto	からの問いに	わからないと答えたこと	{B}からの問いに / わからないと答えたこと	回答{B}的问题说不知道	的事情
49		1	B_NI	auto	に警告したこと		{B}に警告したこと	警告{B}的事情	
57		1	B_TO_NO	auto	との話を	切り上げたこと	{B}との話を / 切り上げたこと	中断和{B}的谈话	的事情
65		1	B_NI	auto	に機密情報を教えたこと		{B}に機密情報を教えたこと	把机密情报告诉{B}的事情	
73		1	B_NI	auto	に怒ってみせたこと		{B}に怒ってみせたこと	对{B}假装生气的事情	
81		1	B_KARA	auto	から身を離したこと		{B}から身を離したこと	从{B}身边离开的事情	
91		1	B_NI	auto	にキスしたこと		{B}にキスしたこと	亲吻{B}的事情	
93		1	B_WO	auto	を抱きしめたこと		{B}を抱きしめたこと	抱住{B}的事情	
94		1	B_NO	auto	の手を握ったこと		{B}の手を握ったこと	握住{B}的手的事情	
98		1	B_NI	auto	にささやいたこと		{B}にささやいたこと	对{B}低声细语的事情	
99		1	B_WO	auto	を強く抱きしめたこと		{B}を強く抱きしめたこと	紧紧抱住{B}的事情	
101		1	B_TO	auto	と指を絡めあったこと		{B}と指を絡めあったこと	和{B}十指相扣的事情	
102		1	B_KARA_NO	auto	からの誘いを	拒絶したこと	{B}からの誘いを / 拒絶したこと	拒绝{B}邀请	的事情
103		1	B_NI	auto	に、つれない態度の	理由を聞いたこと	{B}に、つれない態度の / 理由を聞いたこと	向{B}询问态度冷淡的理由	的事情
106		1	B_NI	auto	に、何でもないと	照れたこと	{B}に、何でもないと / 照れたこと	对{B}说没什么然后害羞	的事情
113		1	INTERNAL_AB	manual	に、$aへの好意を	尋ねたこと	{B}に、$aへの好意を / 尋ねたこと	向{B}询问对{A}的好感	的事情
116		1	INTERNAL_AB	manual	に、$aを避ける理由を	聞いたこと	{B}に、$aを避ける理由を / 聞いたこと	向{B}询问躲着{A}的理由	的事情
117		1	B_KARA_NO	auto	からの質問に	何も答えなかったこと	{B}からの質問に / 何も答えなかったこと	对{B}的提问什么也没回答	的事情
118		1	B_NI	auto	に、今はダメだと言って	拒絶したこと	{B}に、今はダメだと言って / 拒絶したこと	对{B}说现在不行然后拒绝	的事情
119		1	B_NI	auto	に、思わせぶりなことを	言ったこと	{B}に、思わせぶりなことを / 言ったこと	对{B}说了引人遐想的话	的事情
121		1	B_NI	auto	に、嫌いだと言ったこと		{B}に、嫌いだと言ったこと	对{B}说讨厌的事情	
122		1	B_NI	auto	に、嬉しいと言ったこと		{B}に、嬉しいと言ったこと	对{B}说开心的事情	
123		1	B_NI	auto	に、うそつきだと	言ったこと	{B}に、うそつきだと / 言ったこと	对{B}说是骗人	的事情
124		1	B_WO	auto	を嫌いだ	と言ったこと	{B}を嫌いだ / と言ったこと	说讨厌{B}	的事情
